date,hml_return,value_return,growth_return,formation_year,cumulative_hml
1986-12-31,-0.009597187072138018,-0.03542776980079142,-0.0258305827286534,1986,-0.6071163687291535
1987-01-31,0.020084768152464835,0.1276571918010014,0.10757242364853657,1986,-0.5992253920841801
1987-02-28,0.03837650938988868,0.0833277326475156,0.04495122325762692,1986,-0.5838450615802697
1987-03-31,0.0010990796271806783,0.017529794904877022,0.016430715277696344,1986,-0.583387674165702
1987-04-30,-0.0058261143170888555,-0.025687092328424928,-0.019860978011336072,1986,-0.5858149052019208
1987-05-31,0.010334325026802278,0.013539206476049552,0.003204881449247274,1986,-0.5815345818110207
1987-06-30,-0.010445197937970573,0.029597597873843882,0.040042795811814455,1986,-0.5859055359342003
1987-07-31,-0.01347584693661083,0.034975470793014024,0.048451317729624854,1987,-0.5914858095492488
1987-08-31,-0.0042963989185712086,0.022326804871347753,0.02662320378991896,1987,-0.5932409494753225
1987-09-30,-0.011854654587483329,-0.022924730965007484,-0.011070076377524156,1987,-0.5980629375196251
1987-10-31,-0.05164711847187914,-0.28744460903089947,-0.23579749055902033,1987,-0.6188218286037882
1987-11-30,-0.03443178625638307,-0.06987486207972214,-0.03544307582333907,1987,-0.6319464739269015
1987-12-31,0.020705699316620266,0.06446666532099833,0.043760966004378066,1987,-0.62432566828361
1988-01-31,0.002763395365770707,0.06822710193115866,0.06546370656538796,1987,-0.623287531576306
1988-02-29,0.013875215862363899,0.07378165961775482,0.05990644375539092,1987,-0.6180605647588833
1988-03-31,-0.009398447292398197,0.014062992671878927,0.023461439964277124,1987,-0.6216502024098853
1988-04-30,-0.005424357095236055,0.006833006792494042,0.012257363887730096,1987,-0.6237025068189244
1988-05-31,-0.02091780790713225,-0.018915260630595145,0.002002547276537105,1987,-0.6315738254972214
1988-06-30,0.0005589702445212008,0.05919954607971263,0.05864057583519143,1987,-0.6313678862283716
1988-07-31,-0.012813704707625485,-0.015508718127127358,-0.0026950134195018747,1988,-0.6360914292799891
1988-08-31,-0.013057119323691361,-0.03169800235515789,-0.01864088303146653,1988,-0.6408430269107943
1988-09-30,0.005374408580542226,0.031036590817461993,0.025662182236919767,1988,-0.6389127705928621
1988-10-31,-0.016444106644838783,-0.009883491238070266,0.006560615406768516,1988,-0.6448505275013223
1988-11-30,-0.012386325124427309,-0.03961771605453219,-0.02723139093010488,1988,-0.6492495243354599
1988-12-31,0.003846783095635478,0.030344492734100843,0.026497709638465365,1988,-0.6479002633348874
1989-01-31,-0.0013840748878926334,0.0661443221196639,0.06752839700755653,1988,-0.6483875957384391
1989-02-28,0.004904641034239648,0.0042951275640220376,-0.0006095134702176104,1988,-0.6466630631123502
1989-03-31,-0.013841733946833423,0.016629126966861797,0.03047086091369522,1988,-0.6515538589863381
1989-04-30,0.005369122866175649,0.04456381417625257,0.03919469131007692,1988,-0.649683008842991
1989-05-31,0.004859603523477703,0.0383997697127132,0.0335401661892355,1988,-0.6479806071584302
1989-06-30,-0.020684309666383262,-0.019611235603523083,0.00107307406286018,1988,-0.6552618852885375
1989-07-31,0.015530266049236727,0.0584502955448934,0.042920029495656674,1989,-0.6499080106497562
1989-08-31,-0.004815624961240748,0.01949308452232654,0.024308709483567288,1989,-0.6515939223724017
1989-09-30,0.011034142540914131,0.005500268561152204,-0.005533873979761928,1989,-0.647749560049738
1989-10-31,0.012082232683661431,-0.03460853659145023,-0.04669076927511166,1989,-0.6434935882713368
