,date,factor,coef,t_stat,p_value,R_squared,Adj_R_squared,n_obs
0,1965-07-01,const,0.0034754371981461155,0.026646423564011062,0.9787417457404971,0.018124257016289946,-0.043242976920191856,52
1,1965-07-01,beta,-0.002725235334297191,-0.2262199643471001,0.8210303437538691,0.018124257016289946,-0.043242976920191856,52
2,1965-07-01,market_equity,0.0014962826462398791,0.21699148125529133,0.828214983758176,0.018124257016289946,-0.043242976920191856,52
3,1965-07-01,BM,0.025528289350850063,1.2851543608782012,0.198738348459776,0.018124257016289946,-0.043242976920191856,52
4,1965-08-01,const,-0.10254337966944263,-0.5270631771709913,0.5981497167296905,0.07386493704164865,0.02831731099451651,65
5,1965-08-01,beta,0.0635670946742844,1.2625607354289654,0.20674708626939475,0.07386493704164865,0.02831731099451651,65
6,1965-08-01,market_equity,0.0054477840327810615,0.6044561357757697,0.5455404237582281,0.07386493704164865,0.02831731099451651,65
7,1965-08-01,BM,-0.041759670154670595,-1.368478567134164,0.17116232632433137,0.07386493704164865,0.02831731099451651,65
8,1965-09-01,const,0.007452733868523291,0.06784745445347205,0.9459070675745878,0.0660851914033328,0.019389450973499422,64
9,1965-09-01,beta,0.03156157013345188,2.3262548670823127,0.020004958205737628,0.0660851914033328,0.019389450973499422,64
10,1965-09-01,market_equity,0.0011908892250638535,0.21623594464120724,0.8288038364880905,0.0660851914033328,0.019389450973499422,64
11,1965-09-01,BM,-0.02216695317351796,-1.0895158618290697,0.27592646394302545,0.0660851914033328,0.019389450973499422,64
12,1965-10-01,const,0.19266825532742837,1.1240439870081058,0.26099436579488855,0.06976070889666297,0.02324874434149604,64
13,1965-10-01,beta,0.020826897602306712,1.0760301907810557,0.2819137543578226,0.06976070889666297,0.02324874434149604,64
14,1965-10-01,market_equity,-0.0107858664510975,-1.2910783391243332,0.19667651427009036,0.06976070889666297,0.02324874434149604,64
15,1965-10-01,BM,0.03812091222289173,0.9545208278513562,0.33982007165367245,0.06976070889666297,0.02324874434149604,64
16,1965-11-01,const,0.14815835347437745,0.6412627773898637,0.5213519687014037,0.0016620279625350065,-0.0482548706393382,64
17,1965-11-01,beta,-0.0013249992893925883,-0.028568892697338654,0.9772084219842738,0.0016620279625350065,-0.0482548706393382,64
18,1965-11-01,market_equity,-0.0031081211239655177,-0.30987604998672647,0.7566552162900908,0.0016620279625350065,-0.0482548706393382,64
19,1965-11-01,BM,-0.015945991238737304,-0.5942646962563264,0.5523350872622454,0.0016620279625350065,-0.0482548706393382,64
20,1965-12-01,const,0.6165426455141472,3.9372086844837835,8.24349140559397e-05,0.21066588775697415,0.17119918214482277,64
21,1965-12-01,beta,-0.041222141571486216,-2.4524814348572215,0.014187470025021045,0.21066588775697415,0.17119918214482277,64
22,1965-12-01,market_equity,-0.02768460282722893,-3.74429741250594,0.0001808992702468941,0.21066588775697415,0.17119918214482277,64
23,1965-12-01,BM,-0.021963121675833166,-0.6062186390271832,0.5443695772605075,0.21066588775697415,0.17119918214482277,64
24,1966-01-01,const,0.22444313435355165,2.0457273381997187,0.040783204460718356,0.07899132645578733,0.03369581792082599,65
25,1966-01-01,beta,0.019851275410193117,1.5754657076000358,0.11514898791864797,0.07899132645578733,0.03369581792082599,65
26,1966-01-01,market_equity,-0.012102428631923259,-2.2662991332360627,0.023433074465286616,0.07899132645578733,0.03369581792082599,65
27,1966-01-01,BM,0.023421099096693897,1.2507242693971394,0.21103509279917776,0.07899132645578733,0.03369581792082599,65
28,1966-02-01,const,0.011107089135453968,0.06456988447252898,0.9485164633637103,0.04510650158713925,-0.0010980225296119972,66
29,1966-02-01,beta,-0.009356509710677662,-1.008817445365593,0.3130621929133943,0.04510650158713925,-0.0010980225296119972,66
30,1966-02-01,market_equity,-0.0008443977007257686,-0.09513293523037936,0.924209238169718,0.04510650158713925,-0.0010980225296119972,66
31,1966-02-01,BM,-0.048630636468658436,-2.243926772766851,0.024837113238830855,0.04510650158713925,-0.0010980225296119972,66
32,1966-03-01,const,0.053025740351002326,0.3058915050740418,0.7596872541180635,0.03101393655977125,-0.015128256937382512,67
33,1966-03-01,beta,0.029221305590608846,0.7084720098344985,0.4786521881080321,0.03101393655977125,-0.015128256937382512,67
34,1966-03-01,market_equity,-0.001687937007487885,-0.19840099619687224,0.8427313380844028,0.03101393655977125,-0.015128256937382512,67
35,1966-03-01,BM,-0.02665647031316521,-0.5992649243489762,0.5489962340877067,0.03101393655977125,-0.015128256937382512,67
36,1966-04-01,const,-0.3445124358259092,-4.4038947393313475,1.0632454733218708e-05,0.09385220158968133,0.050702306427285126,67
37,1966-04-01,beta,0.005037978823480929,0.32188553706780265,0.7475394103148862,0.09385220158968133,0.050702306427285126,67
38,1966-04-01,market_equity,0.013375304024158085,3.9233051019489045,8.734242661370495e-05,0.09385220158968133,0.050702306427285126,67
39,1966-04-01,BM,-8.486771445685368e-05,-0.009101420614525135,0.9927382172664355,0.09385220158968133,0.050702306427285126,67
40,1966-05-01,const,-0.13139278385413328,-1.724000636022162,0.08470772834427355,0.043809351511805206,0.01045386377384483,90
41,1966-05-01,beta,0.008537771038663825,1.078974175815169,0.28059923992435065,0.043809351511805206,0.01045386377384483,90
42,1966-05-01,market_equity,0.007066634830669675,1.6577491707668721,0.09736810460748763,0.043809351511805206,0.01045386377384483,90
43,1966-05-01,BM,-0.01577902605322208,-1.1998637327176365,0.23019226718241548,0.043809351511805206,0.01045386377384483,90
44,1966-06-01,const,0.4418249442110946,1.1370715504383002,0.2555083758652634,0.07194564178518947,0.03994376736398908,91
