date,hml_return,value_return,growth_return,formation_year,cumulative_hml
1988-02-29,-0.013183982509551731,0.06428501812647565,0.07746900063602738,1987,3.2728473924683623
1988-03-31,0.011522931205978979,0.026022714797057114,0.014499783591078135,1987,3.3220831190254225
1988-04-30,0.007578691742049783,0.013573794599255212,0.005995102857205429,1987,3.354838854668033
1988-05-31,0.025861201224577454,0.006571889124579811,-0.01928931209999764,1987,3.4674602185892116
1988-06-30,-0.005019108534656702,0.05474753488283761,0.05976664341749431,1987,3.445037550877851
1988-07-31,0.01433320884127321,-0.001518974045778445,-0.015852182887051654,1988,3.5087492024018854
1988-08-31,0.01469718214016481,-0.017018256298217075,-0.031715438438381885,1988,3.5750151106539088
1988-09-30,-0.009450438074202844,0.022015029847647243,0.031465467921850086,1988,3.5317792136621318
1988-10-31,0.01644230878344842,0.00672732945113055,-0.00971497933231787,1988,3.606292126831578
1988-11-30,0.016060572938208943,-0.024402455479982217,-0.04046302841819116,1988,3.6802718175092535
1988-12-31,-0.0031188483083734626,0.028493155340068934,0.0316120036484424,1988,3.6656747596684864
1989-01-31,0.0013532268547358506,0.07067525171602712,0.06932202486129127,1988,3.6719884760487327
1989-02-28,-0.004177243501380436,0.0001539575593982271,0.004331201060778663,1988,3.6524724425486337
1989-03-31,0.01205331009014713,0.029124610514173477,0.017071300424026346,1988,3.708550135584537
1989-04-30,-0.007427402631625377,0.037661477547896935,0.04508888017952231,1988,3.6735778379163566
1989-05-31,-0.0038110478020080135,0.03504584709333014,0.038856894895338154,1988,3.6557666093696524
1989-06-30,0.021217386380322632,0.0011333502600596199,-0.02008403612026301,1988,3.754549808417253
1989-07-31,-0.01795156569745688,0.04059089258541476,0.05854245828287164,1989,3.6691981951696198
1989-08-31,0.002407548987972165,0.022623411440669976,0.02021586245269781,1989,3.6804395185590426
1989-09-30,-0.007163444566490628,-0.0020698454491420285,0.0050935991173486,1989,3.646911449521033
1989-10-31,-0.016223045582298624,-0.05016971193106372,-0.033946666348765094,1989,3.5715243932585485
1989-11-30,-0.009679145857782036,-0.005571887630804164,0.004107258226977871,1989,3.52727594186379
1989-12-31,-0.0021703462589166703,3.448189331310258e-05,0.002204828152229773,1989,3.517450185460283
1990-01-31,-0.0005290517702641329,-0.06609041979855296,-0.06556136802828882,1989,3.515060220442585
1990-02-28,-0.003829852431332638,0.018785816144873166,0.022615668576205804,1989,3.4977682060797104
1990-03-31,-0.02499338184780016,0.015475044831446181,0.04046842667924634,1989,3.3853537678422647
1990-04-30,-0.017694528588898806,-0.04121708808337571,-0.023522559494476902,1989,3.307757000224745
1990-05-31,-0.03359699520159451,0.053925135964618065,0.08752213116621257,1989,3.163029308958559
1990-06-30,-0.018240900126707822,-0.006106213500430632,0.01213468662627719,1989,3.087091907109288
1990-07-31,0.012409008256671152,-0.021846689821732265,-0.03425569807840342,1990,3.1378086643303815
