date,long_return,short_return,long_short_return,long_stocks,short_stocks,cumulative_return
1961-07-31,0.012407401173050135,0.015121813671469968,-0.0027144124984198326,122,121,-0.0027144124984198603
1961-08-31,0.031120928492819305,0.01914941833915862,0.011971510153660686,123,121,0.009224602038454766
1961-09-30,-0.03246508118761433,-0.03096584152001008,-0.0014992396676042456,123,121,0.007711532481556649
1961-10-31,0.01537658914222232,0.021416628898015,-0.006040039755792679,123,122,0.0016249147629971983
1961-11-30,0.04157610044240513,0.0519850575257697,-0.010408957083364569,123,122,-0.008800955988399473
1961-12-31,-0.004623838988670055,0.010040263107038552,-0.014664102095708606,123,122,-0.023335999966954346
1962-01-31,-0.04333869554661196,-0.002600131412054537,-0.040738564134557426,123,122,-0.06312388897021404
1962-02-28,0.010191308293952924,0.01325887222901439,-0.0030675639350614663,123,122,-0.06599781634002966
1962-03-31,-0.00610970708585404,-0.007645898854847265,0.0015361917689932251,123,121,-0.06456300987326946
1962-04-30,-0.08064603765618161,-0.0733261140742471,-0.0073199235819345065,123,121,-0.07141033715671197
1962-05-31,-0.09680534717203802,-0.08933014739646368,-0.007475199775574343,123,122,-0.07835173039599874
1962-06-30,-0.10481656043679537,-0.07265363891377737,-0.032162921523018,123,122,-0.10799463136309762
1962-07-31,0.06359831430130229,0.04713621916417064,0.01646209513713165,144,143,-0.0933103541217647
1962-08-31,0.019846766463320384,0.018138448764471463,0.0017083176988489206,144,143,-0.09176144015234788
1962-09-30,-0.07329133015414392,-0.06098945270033947,-0.012301877453804448,144,144,-0.10293447961441349
1962-10-31,-0.015123005293553546,-0.012309490082622235,-0.0028135152109313114,144,144,-0.10545838710122035
1962-11-30,0.14673291147184925,0.13197996740222867,0.014752944069620577,144,144,-0.09226126471817653
1962-12-31,-0.00936314801850454,-0.013256474842258253,0.0038933268237537136,144,144,-0.08872714115114344
1963-01-31,0.0696957060748013,0.07886258156809485,-0.00916687549329355,144,144,-0.09708066598862852
1963-02-28,-0.027131634922541656,-0.02044443814610802,-0.0066871967764336356,143,144,-0.10311866524840896
1963-03-31,0.020543805278906434,0.02729718487642593,-0.006753379597519496,143,144,-0.1091756453559164
1963-04-30,0.044813570861773885,0.047462567667365986,-0.0026489968055921007,143,144,-0.11153543622571216
1963-05-31,0.019945613154263016,0.026954153814131184,-0.007008540659868168,143,144,-0.11776227624577629
1963-06-30,-0.01222403043221105,-0.021691365175743216,0.009467334743532166,143,143,-0.10940983639162327
1963-07-31,-0.0016664257257324872,-0.009644020651542252,0.007977594925809765,175,176,-0.10230506882144497
1963-08-31,0.05793196134852035,0.053674540725066416,0.004257420623453932,175,177,-0.09848320390787524
1963-09-30,-0.024378545652407126,-0.017806539645947795,-0.006572006006459331,175,177,-0.10440797770671673
1963-10-31,0.023676356575175774,0.02504241989693973,-0.0013660633217639565,175,177,-0.10563141311963598
1963-11-30,-0.012654090964127371,-0.003602838074957813,-0.009051252889169558,175,177,-0.11372656937561931
1963-12-31,0.011949039459440132,0.007057562658561958,0.004891476800878173,173,165,-0.10939138345048549
1964-01-31,0.020290949591696895,0.028422911336165514,-0.008131961744468619,171,162,-0.11663377864956026
1964-02-29,0.016453427225073994,0.030287723243415665,-0.013834296018341671,171,160,-0.12885452844832612
1964-03-31,0.015691287682261853,0.05502556889190417,-0.039334281209642316,169,159,-0.16312040940084616
1964-04-30,-0.005067849992208759,0.0006909024492767563,-0.0057587524414855155,167,157,-0.16793979178643836
1964-05-31,0.008478795974452896,0.02341196748376456,-0.014933171509311663,167,156,-0.180365089581765
1964-06-30,0.013494977062850478,0.014644957139463365,-0.0011499800766128863,117,83,-0.18130765339884236
1964-07-31,0.02885644934140027,0.019131654126591284,0.009724795214808984,158,128,-0.17334603798421466
1964-08-31,-0.005534696108643694,-0.0023587497675141523,-0.003175946341129542,157,125,-0.17597144661025887
1964-09-30,0.028571111202852512,0.025494628384174333,0.0030764828186781792,151,121,-0.173436336923655
1964-10-31,0.02129300324525912,0.01919956616017435,0.002093437085084769,149,120,-0.17170597789818753
1964-11-30,0.011868225075271703,-0.009322684371314635,0.021190909446586338,149,118,-0.15415367428067928
1964-12-31,0.004233411202731168,-0.014823027046556869,0.019056438249288037,149,118,-0.138034856006222
1965-01-31,0.06583978666032408,0.06478350158133737,0.00105628507898671,149,118,-0.13712437508601472
1965-02-28,0.02840905803708547,0.03649435456133282,-0.00808529652424735,151,121,-0.1441009803769896
1965-03-31,-0.005511634187489,0.007124848142015601,-0.012636482329504602,151,120,-0.1549165332142961
1965-04-30,0.029720328955867643,0.053130742090555835,-0.023410413134688193,152,120,-0.17470028630504397
1965-05-31,-0.00393066163961782,-0.0035432374572528375,-0.0003874241823649824,152,120,-0.1750200273718283
1965-06-30,-0.06976443253607552,-0.07856762955197111,0.008803197015895589,149,119,-0.16775756613861448
1965-07-31,0.020108364529613246,0.03219267447356389,-0.012084309943950641,146,143,-0.17781464165790328
1965-08-31,0.04254252650705606,0.04533384418315061,-0.00279131767609455,146,144,-0.1801096221816697
1965-09-30,0.024011022723193512,0.04843567400104133,-0.02442465127784782,145,143,-0.20013515874594534
1965-10-31,0.03524701277644517,0.0499273196911064,-0.014680306914661226,144,143,-0.21187742010580168
1965-11-30,0.018275396115562437,0.03753312417790069,-0.01925772806233825,144,143,-0.2270548704291926
1965-12-31,0.018992112388482488,0.043651290943431724,-0.024659178554949236,144,143,-0.2461150623924575
1966-01-31,0.025052410588685445,0.041801597941710844,-0.0167491873530254,144,143,-0.25874202245507016
