factor,n_periods,mean_coef,std_coef,se_mean,t_stat_fm,p_value_fm,ci_lower,ci_upper,median_coef,min_coef,max_coef,pct_significant,pct_positive,avg_t_stat_cs,avg_p_value_cs
const,624,0.0628563035215609,0.21682329789007887,0.008679878598267193,7.241610906183551,1.31250565971186e-12,0.0458109394597636,0.07990166758335819,0.03971946143979041,-0.7325858431518677,2.059252176940057,37.17948717948718,60.57692307692307,0.473668552635324,0.27310521459814835
beta,624,0.0053189169343494085,0.0444339042264765,0.001778779762534435,2.990205446665824,0.0028979049636448373,0.0018257864377765982,0.008812047430922218,0.0010202684423511192,-0.20244356517490195,0.5683827447181551,35.09615384615385,51.60256410256411,0.04701583688299023,0.2690202848546066
market_equity,624,-0.00280973701156471,0.011605317303012647,0.000464584508513412,-6.047849121261856,2.531393983318253e-09,-0.003722078353143288,-0.0018973956699861326,-0.001300539810457029,-0.09224669363550077,0.042628253196172514,37.17948717948718,43.58974358974359,-0.3052722456371767,0.27134414855687494
BM,624,0.00567004609179985,0.07997605859132721,0.003201604652709176,1.7710013280377686,0.07704936071558999,-0.0006171981673844416,0.01195729035098414,0.0002899778974703967,-0.4034232822544,1.473101421656691,13.62179487179487,50.16025641025641,-0.0818239456014827,0.37569916328772257
