observation_date,IRLTCT01USM156N
1977-11-01,7.160000000
1977-12-01,7.240000000
1978-01-01,7.510000000
1978-02-01,7.600000000
1978-03-01,7.630000000
1978-04-01,7.740000000
1978-05-01,7.870000000
1978-06-01,7.940000000
1978-07-01,8.100000000
1978-08-01,7.880000000
1978-09-01,7.820000000
1978-10-01,8.070000000
1978-11-01,8.160000000
1978-12-01,8.360000000
1979-01-01,8.430000000
1979-02-01,8.430000000
1979-03-01,8.450000000
1979-04-01,8.440000000
1979-05-01,8.550000000
1979-06-01,8.320000000
1979-07-01,8.350000000
1979-08-01,8.420000000
1979-09-01,8.680000000
1979-10-01,9.440000000
1979-11-01,9.800000000
1979-12-01,9.580000000
1980-01-01,10.030000000
1980-02-01,11.550000000
1980-03-01,11.870000000
1980-04-01,10.830000000
1980-05-01,9.820000000
1980-06-01,9.400000000
1980-07-01,9.830000000
1980-08-01,10.530000000
1980-09-01,10.940000000
1980-10-01,11.200000000
1980-11-01,11.830000000
1980-12-01,11.890000000
1981-01-01,11.650000000
1981-02-01,12.230000000
1981-03-01,12.150000000
1981-04-01,12.620000000
1981-05-01,12.960000000
1981-06-01,12.390000000
1981-07-01,13.370000000
1981-08-01,14.240000000
1981-09-01,14.680000000
1981-10-01,13.770000000
1981-11-01,12.230000000
1981-12-01,13.210000000
1982-01-01,13.380000000
1982-02-01,13.290000000
1982-03-01,13.130000000
1982-04-01,12.810000000
1982-05-01,12.810000000
1982-06-01,13.330000000
1982-07-01,12.780000000
1982-08-01,11.880000000
1982-09-01,11.180000000
1982-10-01,10.290000000
1982-11-01,10.480000000
1982-12-01,10.250000000
1983-01-01,10.720000000
1983-02-01,10.210000000
1983-03-01,10.400000000
1983-04-01,10.070000000
1983-05-01,10.630000000
1983-06-01,10.720000000
1983-07-01,11.470000000
1983-08-01,11.560000000
1983-09-01,11.080000000
1983-10-01,11.370000000
1983-11-01,11.220000000
1983-12-01,11.430000000
1984-01-01,11.280000000
1984-02-01,11.650000000
1984-03-01,12.050000000
1984-04-01,12.360000000
1984-05-01,13.290000000
1984-06-01,13.240000000
1984-07-01,12.430000000
1984-08-01,12.260000000
1984-09-01,11.940000000
1984-10-01,11.330000000
1984-11-01,11.280000000
1984-12-01,11.250000000
1985-01-01,10.920000000
1985-02-01,11.840000000
1985-03-01,11.610000000
1985-04-01,11.430000000
1985-05-01,10.490000000
1985-06-01,10.440000000
1985-07-01,10.750000000
1985-08-01,10.520000000
1985-09-01,10.620000000
1985-10-01,10.310000000
1985-11-01,9.890000000
1985-12-01,9.350000000
1986-01-01,9.440000000
1986-02-01,8.360000000
1986-03-01,7.580000000
1986-04-01,7.700000000
1986-05-01,8.380000000
1986-06-01,7.810000000
1986-07-01,7.950000000
1986-08-01,7.530000000
1986-09-01,8.060000000
1986-10-01,7.870000000
1986-11-01,7.710000000
1986-12-01,7.780000000
1987-01-01,7.680000000
1987-02-01,7.580000000
1987-03-01,7.850000000
1987-04-01,8.470000000
1987-05-01,8.670000000
1987-06-01,8.640000000
1987-07-01,8.920000000
1987-08-01,8.840000000
1987-09-01,8.810000000
1987-10-01,8.730000000
1987-11-01,8.740000000
1987-12-01,8.760000000
1988-01-01,8.410000000
1988-02-01,8.370000000
1988-03-01,8.790000000
1988-04-01,9.060000000
1988-05-01,9.320000000
1988-06-01,8.960000000
1988-07-01,9.250000000
1988-08-01,9.300000000
1988-09-01,9.080000000
1988-10-01,8.720000000
1988-11-01,9.180000000
1988-12-01,9.140000000
1989-01-01,8.970000000
1989-02-01,9.310000000
