permno,duration,end_year,start_year
38121,1,1973,1968
50059,1,1973,1972
44783,3,1973,1969
50630,1,1973,1972
31763,4,1973,1964
36695,3,1973,1968
40723,4,1973,1968
38295,3,1973,1968
31077,3,1973,1968
26673,5,1973,1963
45591,1,1973,1973
49023,1,1973,1971
13661,1,1973,1963
23229,1,1973,1964
12044,1,1973,1972
39765,5,1973,1969
36222,4,1974,1968
29145,1,1974,1973
56741,1,1974,1974
37225,3,1974,1969
41144,1,1974,1972
48100,2,1974,1972
40539,3,1974,1968
46308,2,1974,1970
55167,1,1974,1974
39116,4,1974,1969
50307,1,1974,1972
49111,1,1974,1971
48143,1,1974,1972
36310,3,1974,1968
45401,4,1974,1970
48151,1,1974,1971
39220,1,1974,1973
45057,2,1974,1969
53276,1,1974,1973
30525,2,1974,1971
33478,2,1974,1971
31712,1,1974,1971
31384,1,1974,1972
16803,2,1974,1971
49728,2,1974,1971
44548,5,1974,1969
53794,1,1974,1973
48565,3,1974,1971
43596,4,1974,1968
40766,4,1974,1969
50884,2,1974,1972
21020,1,1974,1968
27895,2,1974,1967
23202,5,1974,1963
16969,1,1974,1972
31579,2,1974,1969
47810,1,1974,1971
49189,3,1974,1971
26374,2,1974,1963
28740,2,1974,1969
61292,1,1974,1974
52572,2,1974,1973
30883,5,1974,1967
48004,2,1974,1972
43414,4,1974,1968
25881,1,1974,1972
38658,5,1974,1964
24731,7,1974,1962
52708,1,1974,1973
27174,10,1974,1964
53073,2,1974,1973
52521,1,1974,1973
47175,4,1974,1970
49058,1,1974,1973
18980,6,1974,1961
46180,2,1974,1970
51510,2,1974,1973
43334,4,1974,1968
46340,3,1974,1970
32504,4,1974,1964
57015,1,1974,1974
59889,1,1974,1974
37832,1,1974,1974
40934,1,1974,1971
38287,4,1974,1968
43430,6,1974,1969
47167,1,1974,1970
51115,1,1974,1972
38527,4,1974,1967
46172,1,1974,1970
44740,1,1974,1969
47423,2,1974,1971
48610,1,1974,1971
23018,14,1974,1961
46113,2,1974,1970
52660,1,1974,1973
68195,3,1974,1964
30948,1,1974,1974
51254,3,1974,1972
54076,1,1974,1973
55036,1,1974,1974
36927,1,1974,1969
51297,1,1974,1973
56442,1,1974,1974
47861,1,1974,1971
45700,1,1974,1973
62383,1,1974,1974
46607,1,1974,1970
47037,1,1974,1974
56928,1,1974,1974
45217,1,1974,1971
16598,4,1974,1968
