Factor,Mean Coef,Std Error,FM t-stat,FM p-value,CI Lower,CI Upper,% Significant
const,0.0629,0.0087,7.2416,0.0,0.0458,0.0799,37.2
beta,0.0053,0.0018,2.9902,0.0029,0.0018,0.0088,35.1
market_equity,-0.0028,0.0005,-6.0478,0.0,-0.0037,-0.0019,37.2
BM,0.0057,0.0032,1.771,0.077,-0.0006,0.012,13.6
